EPISODE,LUX,STATE_IDX,PWM,REWARD,EPSILON,ALPHA_LAST,Q_S2_LIGHT_UP,Q_S2_LIGHT_DOWN
208,326.67,2,40,0.6833,0.8121,0.0323,2.4263,2.1929
209,327.50,2,50,0.7350,0.8113,0.0370,2.4263,2.1929
210,394.17,3,40,0.0083,0.8105,0.0588,2.4263,2.1929
211,310.83,2,40,0.8417,0.8097,0.0312,2.4263,2.1929
212,310.00,2,40,0.9100,0.8089,0.0303,2.4263,2.1929
213,308.33,2,40,0.9267,0.8081,0.0294,2.4263,2.1929
214,309.17,2,30,0.9183,0.8073,0.0435,2.4263,2.1929
215,245.00,1,20,0.4000,0.8065,0.0370,2.4263,2.1929
216,180.00,1,10,-0.2500,0.8057,0.0357,2.4263,2.1929
217,114.17,1,20,-0.9083,0.8048,0.0400,2.4263,2.1929
218,180.00,1,10,-0.2500,0.8040,0.0345,2.4263,2.1929
219,114.17,1,10,-0.9083,0.8032,0.0476,2.4263,2.1929
220,114.17,1,10,-0.8483,0.8024,0.0455,2.4263,2.1929
221,114.17,1,0,-0.8483,0.8016,0.0333,2.4263,2.1929
222,48.33,0,0,-1.0000,0.8008,0.1250,2.4263,2.1929
223,48.33,0,0,-1.0000,0.8000,0.1111,2.4263,2.1929
224,49.17,0,10,-1.0000,0.7992,0.0667,2.4263,2.1929
225,114.17,1,20,-0.9083,0.7984,0.0385,2.4263,2.1929
226,180.00,1,30,-0.2500,0.7976,0.0370,2.4263,2.1929
227,245.83,1,40,0.4083,0.7968,0.0357,2.4263,2.1929
228,312.50,2,40,0.8250,0.7960,0.0286,2.4263,2.1929
229,312.50,2,40,0.8850,0.7952,0.0278,2.4263,2.1929
230,312.50,2,30,0.8850,0.7944,0.0417,2.4263,2.1929
231,245.83,1,40,0.4083,0.7937,0.0345,2.4263,2.1929
232,311.67,2,40,0.8333,0.7929,0.0270,2.4263,2.1929
233,311.67,2,50,0.8933,0.7921,0.0357,2.4263,2.1929
234,378.33,3,40,0.1667,0.7913,0.0556,2.4263,2.1929
235,312.50,2,50,0.8250,0.7905,0.0345,2.4263,2.1929
236,377.50,3,50,0.1750,0.7897,0.1000,2.4263,2.1929
237,378.33,3,40,0.2267,0.7889,0.0526,2.4263,2.1929
238,312.50,2,30,0.8250,0.7881,0.0400,2.4263,2.1929
239,246.67,1,40,0.4167,0.7873,0.0333,2.4263,2.1929
240,311.67,2,30,0.8333,0.7865,0.0385,2.4263,2.1929
241,248.33,1,40,0.4333,0.7857,0.0323,2.4263,2.1929
242,312.50,2,40,0.8250,0.7850,0.0263,2.4263,2.1929
243,312.50,2,40,0.8850,0.7842,0.0256,2.4263,2.1929
244,312.50,2,40,0.8850,0.7834,0.0250,2.4263,2.1929
245,311.67,2,30,0.8933,0.7826,0.0370,2.4263,2.1929
246,245.83,1,40,0.4083,0.7818,0.0312,2.4263,2.1929
247,311.67,2,40,0.8333,0.7810,0.0244,2.4263,2.1929
248,311.67,2,40,0.8933,0.7803,0.0238,2.4263,2.1929
249,313.33,2,50,0.8767,0.7795,0.0333,2.4263,2.1929
250,377.50,3,40,0.1750,0.7787,0.0500,2.4263,2.1929
251,311.67,2,30,0.8333,0.7779,0.0357,2.4263,2.1929
252,245.83,1,40,0.4083,0.7771,0.0303,2.4263,2.1929
253,312.50,2,50,0.8250,0.7764,0.0323,2.4263,2.1929
254,379.17,3,40,0.1583,0.7756,0.0476,2.4263,2.1929
255,311.67,2,30,0.8333,0.7748,0.0345,2.4263,2.1929
256,245.00,1,30,0.4000,0.7740,0.0435,2.4263,2.1929
257,245.00,1,40,0.4600,0.7733,0.0294,2.4263,2.1929
258,311.67,2,40,0.8333,0.7725,0.0233,2.4263,2.1929
259,311.67,2,50,0.8933,0.7717,0.0312,2.4263,2.1929
260,376.67,3,40,0.1833,0.7710,0.0455,2.4263,2.1929
261,311.67,2,40,0.8333,0.7702,0.0227,2.4263,2.1929
262,311.67,2,30,0.8933,0.7694,0.0333,2.4263,2.1929
263,245.83,1,30,0.4083,0.7686,0.0417,2.4263,2.1929
264,245.83,1,40,0.4683,0.7679,0.0286,2.4263,2.1929
265,311.67,2,40,0.8333,0.7671,0.0222,2.4263,2.1929
266,310.83,2,40,0.9017,0.7663,0.0217,2.4263,2.1929
267,311.67,2,50,0.8933,0.7656,0.0303,2.4263,2.1929
268,376.67,3,40,0.1833,0.7648,0.0435,2.4263,2.1929
269,311.67,2,50,0.8333,0.7640,0.0294,2.4263,2.1929
270,377.50,3,60,0.1750,0.7633,0.2000,2.4263,2.1929
271,442.50,3,50,-0.4750,0.7625,0.0417,2.4263,2.1929
272,376.67,3,40,0.1833,0.7618,0.0400,2.4263,2.1929
273,310.83,2,30,0.8417,0.7610,0.0323,2.4263,2.1929
274,245.00,1,30,0.4000,0.7602,0.0400,2.4263,2.1929
275,245.00,1,40,0.4600,0.7595,0.0278,2.4263,2.1929
276,311.67,2,50,0.8333,0.7587,0.0286,2.4263,2.1929
277,376.67,3,40,0.1833,0.7580,0.0385,2.4263,2.1929
278,311.67,2,50,0.8333,0.7572,0.0278,2.4263,2.1929
279,377.50,3,60,0.1750,0.7564,0.1667,2.4263,2.1929
280,443.33,3,60,-0.4833,0.7557,0.0909,2.4263,2.1929
281,445.00,3,70,-0.4400,0.7549,0.1429,2.4263,2.1929
282,510.83,4,80,-1.0000,0.7542,1.0000,2.4263,2.1929
283,575.00,4,70,-1.0000,0.7534,1.0000,2.4263,2.1929
284,510.83,4,70,-1.0000,0.7527,1.0000,2.4263,2.1929
285,510.83,4,70,-1.0000,0.7519,0.5000,2.4263,2.1929
286,510.00,4,80,-1.0000,0.7512,0.5000,2.4263,2.1929
287,576.67,4,70,-1.0000,0.7504,0.5000,2.4263,2.1929
288,510.00,4,80,-1.0000,0.7497,0.3333,2.4263,2.1929
289,576.67,4,70,-1.0000,0.7489,0.3333,2.4263,2.1929
290,510.83,4,60,-1.0000,0.7482,0.2500,2.4263,2.1929
291,443.33,3,70,-0.4833,0.7474,0.1250,2.4263,2.1929
292,511.67,4,70,-1.0000,0.7467,0.3333,2.4263,2.1929
293,510.83,4,80,-1.0000,0.7459,0.2500,2.4263,2.1929
294,575.83,4,80,-1.0000,0.7452,0.2500,2.4263,2.1929
295,576.67,4,80,-1.0000,0.7444,0.2000,2.4263,2.1929
296,575.83,4,70,-1.0000,0.7437,0.2000,2.4263,2.1929
297,510.00,4,60,-1.0000,0.7429,0.1667,2.4263,2.1929
298,443.33,3,50,-0.4833,0.7422,0.0370,2.4263,2.1929
299,377.50,3,40,0.1750,0.7415,0.0357,2.4263,2.1929
300,311.67,2,30,0.8333,0.7407,0.0312,2.4263,2.1929
301,245.83,1,40,0.4083,0.7400,0.0270,2.4263,2.1929
302,312.50,2,30,0.8250,0.7392,0.0303,2.4263,2.1929
303,245.83,1,40,0.4083,0.7385,0.0263,2.4263,2.1929
304,311.67,2,50,0.8333,0.7378,0.0270,2.4263,2.1929
305,378.33,3,60,0.1667,0.7370,0.1111,2.4263,2.1929
306,444.17,3,60,-0.4917,0.7363,0.0833,2.4263,2.1929
307,444.17,3,50,-0.4317,0.7355,0.0345,2.4263,2.1929
308,379.17,3,50,0.1583,0.7348,0.0769,2.4263,2.1929
309,378.33,3,40,0.2267,0.7341,0.0333,2.4263,2.1929
310,312.50,2,40,0.8250,0.7333,0.0213,2.4263,2.1929
311,313.33,2,50,0.8767,0.7326,0.0263,2.4263,2.1929
312,378.33,3,40,0.1667,0.7319,0.0323,2.4263,2.1929
313,312.50,2,30,0.8250,0.7311,0.0294,2.4263,2.1929
314,246.67,1,40,0.4167,0.7304,0.0256,2.4263,2.1929
315,313.33,2,50,0.8167,0.7297,0.0256,2.4263,2.1929
316,378.33,3,40,0.1667,0.7289,0.0312,2.4263,2.1929
317,313.33,2,30,0.8167,0.7282,0.0286,2.4263,2.1929
318,247.50,1,40,0.4250,0.7275,0.0250,2.4263,2.1929
319,312.50,2,50,0.8250,0.7268,0.0250,2.4263,2.1929
320,378.33,3,60,0.1667,0.7260,0.1000,2.4263,2.1929
321,445.00,3,50,-0.5000,0.7253,0.0303,2.4263,2.1929
322,379.17,3,40,0.1583,0.7246,0.0294,2.4263,2.1929
323,312.50,2,40,0.8250,0.7239,0.0208,2.4263,2.1929
324,312.50,2,30,0.8850,0.7231,0.0278,2.4263,2.1929
325,246.67,1,40,0.4167,0.7224,0.0244,2.4263,2.1929
326,312.50,2,40,0.8250,0.7217,0.0204,2.4263,2.1929
327,313.33,2,40,0.8767,0.7210,0.0200,2.4263,2.1929
328,313.33,2,40,0.8767,0.7202,0.0196,2.4263,2.1929
329,313.33,2,40,0.8767,0.7195,0.0192,2.4263,2.1929
330,313.33,2,50,0.8767,0.7188,0.0244,2.4263,2.1929
331,379.17,3,40,0.1583,0.7181,0.0286,2.4263,2.1929
332,312.50,2,40,0.8250,0.7174,0.0189,2.4263,2.1929
333,312.50,2,40,0.8850,0.7167,0.0185,2.4263,2.1929
334,313.33,2,30,0.8767,0.7159,0.0270,2.4263,2.1929
335,246.67,1,20,0.4167,0.7152,0.0323,2.4263,2.1929
336,180.00,1,30,-0.2500,0.7145,0.0238,2.4263,2.1929
337,245.83,1,40,0.4083,0.7138,0.0233,2.4263,2.1929
338,312.50,2,40,0.8250,0.7131,0.0182,2.4263,2.1929
339,312.50,2,40,0.8850,0.7124,0.0179,2.4263,2.1929
340,312.50,2,30,0.8850,0.7117,0.0263,2.4263,2.1929
341,246.67,1,40,0.4167,0.7109,0.0227,2.4263,2.1929
342,311.67,2,50,0.8333,0.7102,0.0238,2.4263,2.1929
343,376.67,3,50,0.1833,0.7095,0.0714,2.4263,2.1929
344,377.50,3,60,0.2350,0.7088,0.0909,2.4263,2.1929
345,444.17,3,60,-0.4917,0.7081,0.0667,2.4263,2.1929
346,444.17,3,50,-0.4317,0.7074,0.0278,2.4263,2.1929
347,378.33,3,40,0.1667,0.7067,0.0270,2.4263,2.1929
348,311.67,2,50,0.8333,0.7060,0.0233,2.4263,2.1929
349,376.67,3,40,0.1833,0.7053,0.0263,2.4263,2.1929
350,311.67,2,30,0.8333,0.7046,0.0256,2.4263,2.1929
351,245.83,1,40,0.4083,0.7039,0.0222,2.4263,2.1929
352,312.50,2,40,0.8250,0.7032,0.0175,2.4263,2.1929
353,312.50,2,50,0.8850,0.7025,0.0227,2.4263,2.1929
354,377.50,3,60,0.1750,0.7018,0.0833,2.4263,2.1929
355,443.33,3,60,-0.4833,0.7011,0.0625,2.4263,2.1929
356,445.00,3,50,-0.4400,0.7004,0.0256,2.4263,2.1929
357,378.33,3,60,0.1667,0.6997,0.0769,2.4263,2.1929
358,445.83,3,70,-0.5083,0.6990,0.0714,2.4263,2.1929
359,511.67,4,60,-1.0000,0.6983,0.1429,2.4263,2.1929
360,445.00,3,50,-0.5000,0.6976,0.0250,2.4263,2.1929
361,378.33,3,60,0.1667,0.6969,0.0667,2.4263,2.1929
362,445.83,3,70,-0.5083,0.6962,0.0625,2.4263,2.1929
363,510.83,4,70,-1.0000,0.6955,0.1667,2.4263,2.1929
364,511.67,4,60,-1.0000,0.6948,0.1250,2.4263,2.1929
365,445.83,3,70,-0.5083,0.6941,0.0588,2.4263,2.1929
366,510.83,4,70,-1.0000,0.6934,0.1429,2.4263,2.1929
367,512.50,4,60,-1.0000,0.6927,0.1111,2.4263,2.1929
368,445.00,3,50,-0.5000,0.6920,0.0244,2.4263,2.1929
369,378.33,3,40,0.1667,0.6913,0.0238,2.4263,2.1929
370,311.67,2,50,0.8333,0.6906,0.0222,2.4263,2.1929
371,378.33,3,50,0.1667,0.6899,0.0588,2.4263,2.1929
372,378.33,3,40,0.2267,0.6892,0.0233,2.4263,2.1929
373,311.67,2,40,0.8333,0.6885,0.0172,2.4263,2.1929
374,311.67,2,40,0.8933,0.6879,0.0169,2.4263,2.1929
375,310.83,2,40,0.9017,0.6872,0.0167,2.4263,2.1929
376,311.67,2,30,0.8933,0.6865,0.0250,2.4263,2.1929
377,245.83,1,30,0.4083,0.6858,0.0385,2.4263,2.1929
378,245.83,1,40,0.4683,0.6851,0.0217,2.4263,2.1929
379,311.67,2,30,0.8333,0.6844,0.0244,2.4263,2.1929
380,245.00,1,30,0.4000,0.6837,0.0370,2.4263,2.1929
381,245.83,1,30,0.4683,0.6831,0.0357,2.4263,2.1929
382,245.83,1,40,0.4683,0.6824,0.0213,2.4263,2.1929
383,310.83,2,30,0.8417,0.6817,0.0238,2.4263,2.1929
384,245.83,1,30,0.4083,0.6810,0.0345,2.4263,2.1929
385,245.83,1,30,0.4683,0.6803,0.0333,2.4263,2.1929
386,245.83,1,40,0.4683,0.6796,0.0208,2.4263,2.1929
387,310.83,2,50,0.8417,0.6790,0.0217,2.4263,2.1929
388,378.33,3,40,0.1667,0.6783,0.0227,2.4263,2.1929
389,311.67,2,50,0.8333,0.6776,0.0213,2.4263,2.1929
